Freq.	V(vo)
1.83653834334832e+001	(-8.17270353644163e+000dB,6.18010401072561e+001°)
1.84077200146893e+001	(-8.15769339268858e+000dB,6.17488089133191e+001°)
1.84501541917945e+001	(-8.14269649194645e+000dB,6.16965286026779e+001°)
1.84926861897805e+001	(-8.12771285994445e+000dB,6.16441991981557e+001°)
1.85353162341479e+001	(-8.11274252246266e+000dB,6.15918207230829e+001°)
1.85780445509167e+001	(-8.09778550533192e+000dB,6.15393932012999e+001°)
1.86208713666284e+001	(-8.08284183443372e+000dB,6.14869166571633e+001°)
1.86637969083464e+001	(-8.06791153570018e+000dB,6.14343911155497e+001°)
1.87068214036578e+001	(-8.05299463511377e+000dB,6.13818166018605e+001°)
1.87499450806739e+001	(-8.03809115870740e+000dB,6.13291931420257e+001°)
1.87931681680324e+001	(-8.02320113256419e+000dB,6.12765207625098e+001°)
1.88364908948977e+001	(-8.00832458281728e+000dB,6.12237994903149e+001°)
1.88799134909627e+001	(-7.99346153564987e+000dB,6.11710293529866e+001°)
1.89234361864495e+001	(-7.97861201729489e+000dB,6.11182103786176e+001°)
1.89670592121112e+001	(-7.96377605403502e+000dB,6.10653425958526e+001°)
1.90107827992327e+001	(-7.94895367220240e+000dB,6.10124260338941e+001°)
1.90546071796322e+001	(-7.93414489817846e+000dB,6.09594607225047e+001°)
1.90985325856621e+001	(-7.91934975839401e+000dB,6.09064466920141e+001°)
1.91425592502106e+001	(-7.90456827932862e+000dB,6.08533839733224e+001°)
1.91866874067026e+001	(-7.88980048751083e+000dB,6.08002725979048e+001°)
1.92309172891013e+001	(-7.87504640951776e+000dB,6.07471125978179e+001°)
1.92752491319091e+001	(-7.86030607197493e+000dB,6.06939040057011e+001°)
1.93196831701690e+001	(-7.84557950155608e+000dB,6.06406468547851e+001°)
1.93642196394658e+001	(-7.83086672498305e+000dB,6.05873411788947e+001°)
1.94088587759275e+001	(-7.81616776902526e+000dB,6.05339870124525e+001°)
1.94536008162263e+001	(-7.80148266049985e+000dB,6.04805843904861e+001°)
1.94984459975802e+001	(-7.78681142627123e+000dB,6.04271333486312e+001°)
1.95433945577537e+001	(-7.77215409325086e+000dB,6.03736339231370e+001°)
1.95884467350596e+001	(-7.75751068839692e+000dB,6.03200861508692e+001°)
1.96336027683602e+001	(-7.74288123871433e+000dB,6.02664900693187e+001°)
1.96788628970682e+001	(-7.72826577125418e+000dB,6.02128457166020e+001°)
1.97242273611483e+001	(-7.71366431311357e+000dB,6.01591531314688e+001°)
1.97696964011183e+001	(-7.69907689143540e+000dB,6.01054123533057e+001°)
1.98152702580507e+001	(-7.68450353340790e+000dB,6.00516234221412e+001°)
1.98609491735734e+001	(-7.66994426626450e+000dB,5.99977863786504e+001°)
1.99067333898716e+001	(-7.65539911728351e+000dB,5.99439012641591e+001°)
1.99526231496885e+001	(-7.64086811378755e+000dB,5.98899681206507e+001°)
1.99986186963271e+001	(-7.62635128314372e+000dB,5.98359869907686e+001°)
2.00447202736513e+001	(-7.61184865276274e+000dB,5.97819579178227e+001°)
2.00909281260870e+001	(-7.59736025009901e+000dB,5.97278809457929e+001°)
2.01372424986236e+001	(-7.58288610265005e+000dB,5.96737561193340e+001°)
2.01836636368153e+001	(-7.56842623795613e+000dB,5.96195834837824e+001°)
2.02301917867824e+001	(-7.55398068360011e+000dB,5.95653630851586e+001°)
2.02768271952125e+001	(-7.53954946720684e+000dB,5.95110949701722e+001°)
2.03235701093619e+001	(-7.52513261644296e+000dB,5.94567791862287e+001°)
2.03704207770569e+001	(-7.51073015901637e+000dB,5.94024157814321e+001°)
2.04173794466950e+001	(-7.49634212267595e+000dB,5.93480048045903e+001°)
2.04644463672464e+001	(-7.48196853521107e+000dB,5.92935463052209e+001°)
2.05116217882553e+001	(-7.46760942445121e+000dB,5.92390403335539e+001°)
2.05589059598411e+001	(-7.45326481826562e+000dB,5.91844869405384e+001°)
2.06062991326997e+001	(-7.43893474456270e+000dB,5.91298861778471e+001°)
2.06538015581050e+001	(-7.42461923128982e+000dB,5.90752380978797e+001°)
2.07014134879101e+001	(-7.41031830643266e+000dB,5.90205427537689e+001°)
2.07491351745488e+001	(-7.39603199801483e+000dB,5.89658001993841e+001°)
2.07969668710366e+001	(-7.38176033409751e+000dB,5.89110104893380e+001°)
