Freq.	V(vout)/V(vin)
2.57039578276885e+001	(-9.50984247516146e+001dB,1.79007425578361e+002°)
2.63026799189537e+001	(-9.46984784225183e+001dB,1.78984309432148e+002°)
2.69153480392690e+001	(-9.42985346221502e+001dB,1.78960655119304e+002°)
2.75422870333815e+001	(-9.38985934696178e+001dB,1.78936450124164e+002°)
2.81838293126444e+001	(-9.34986550896354e+001dB,1.78911681640951e+002°)
2.88403150312659e+001	(-9.30987196127877e+001dB,1.78886336567125e+002°)
2.95120922666637e+001	(-9.26987871758058e+001dB,1.78860401496577e+002°)
3.01995172040200e+001	(-9.22988579218560e+001dB,1.78833862712675e+002°)
3.09029543251358e+001	(-9.18989320008425e+001dB,1.78806706181151e+002°)
3.16227766016837e+001	(-9.14990095697239e+001dB,1.78778917542844e+002°)
3.23593656929627e+001	(-9.10990907928447e+001dB,1.78750482106268e+002°)
3.31131121482590e+001	(-9.06991758422821e+001dB,1.78721384840029e+002°)
3.38844156139201e+001	(-9.02992648982094e+001dB,1.78691610365068e+002°)
3.46736850452530e+001	(-8.98993581492765e+001dB,1.78661142946743e+002°)
3.54813389233574e+001	(-8.94994557930074e+001dB,1.78629966486731e+002°)
3.63078054770100e+001	(-8.90995580362171e+001dB,1.78598064514761e+002°)
3.71535229097171e+001	(-8.86996650954479e+001dB,1.78565420180163e+002°)
3.80189396320559e+001	(-8.82997771974257e+001dB,1.78532016243246e+002°)
3.89045144994279e+001	(-8.78998945795380e+001dB,1.78497835066476e+002°)
3.98107170553495e+001	(-8.75000174903340e+001dB,1.78462858605482e+002°)
4.07380277804111e+001	(-8.71001461900480e+001dB,1.78427068399861e+002°)
4.16869383470333e+001	(-8.67002809511476e+001dB,1.78390445563793e+002°)
4.26579518801591e+001	(-8.63004220589071e+001dB,1.78352970776458e+002°)
4.36515832240164e+001	(-8.59005698120079e+001dB,1.78314624272254e+002°)
4.46683592150961e+001	(-8.55007245231666e+001dB,1.78275385830814e+002°)
4.57088189614873e+001	(-8.51008865197922e+001dB,1.78235234766812e+002°)
4.67735141287196e+001	(-8.47010561446748e+001dB,1.78194149919562e+002°)
4.78630092322636e+001	(-8.43012337567053e+001dB,1.78152109642412e+002°)
4.89778819368444e+001	(-8.39014197316292e+001dB,1.78109091791911e+002°)
5.01187233627270e+001	(-8.35016144628349e+001dB,1.78065073716771e+002°)
5.12861383991362e+001	(-8.31018183621792e+001dB,1.78020032246604e+002°)
5.24807460249770e+001	(-8.27020318608507e+001dB,1.77973943680435e+002°)
5.37031796370250e+001	(-8.23022554102734e+001dB,1.77926783774993e+002°)
5.49540873857622e+001	(-8.19024894830518e+001dB,1.77878527732779e+002°)
5.62341325190346e+001	(-8.15027345739604e+001dB,1.77829150189896e+002°)
5.75439937337154e+001	(-8.11029912009786e+001dB,1.77778625203661e+002°)
5.88843655355586e+001	(-8.07032599063730e+001dB,1.77726926239972e+002°)
6.02559586074355e+001	(-8.03035412578306e+001dB,1.77674026160453e+002°)
6.16595001861479e+001	(-7.99038358496433e+001dB,1.77619897209354e+002°)
6.30957344480190e+001	(-7.95041443039477e+001dB,1.77564511000227e+002°)
6.45654229034652e+001	(-7.91044672720216e+001dB,1.77507838502354e+002°)
6.60693448007593e+001	(-7.87048054356400e+001dB,1.77449850026948e+002°)
6.76082975391978e+001	(-7.83051595084938e+001dB,1.77390515213111e+002°)
6.91830970918933e+001	(-7.79055302376730e+001dB,1.77329803013563e+002°)
7.07945784384134e+001	(-7.75059184052180e+001dB,1.77267681680129e+002°)
7.24435960074986e+001	(-7.71063248297424e+001dB,1.77204118748999e+002°)
7.41310241300914e+001	(-7.67067503681287e+001dB,1.77139081025749e+002°)
7.58577575029180e+001	(-7.63071959173026e+001dB,1.77072534570145e+002°)
7.76247116628688e+001	(-7.59076624160873e+001dB,1.77004444680703e+002°)
7.94328234724277e+001	(-7.55081508471420e+001dB,1.76934775879046e+002°)
8.12830516164095e+001	(-7.51086622389891e+001dB,1.76863491894029e+002°)
8.31763771102667e+001	(-7.47091976681320e+001dB,1.76790555645656e+002°)
8.51138038202372e+001	(-7.43097582612697e+001dB,1.76715929228792e+002°)
8.70963589956076e+001	(-7.39103451976107e+001dB,1.76639573896672e+002°)
8.91250938133741e+001	(-7.35109597112910e+001dB,1.76561450044215e+002°)
9.12010839355905e+001	(-7.31116030939011e+001dB,1.76481517191166e+002°)
9.33254300796986e+001	(-7.27122766971255e+001dB,1.76399733965049e+002°)
9.54992586021431e+001	(-7.23129819355005e+001dB,1.76316058083968e+002°)
9.77237220955805e+001	(-7.19137202892953e+001dB,1.76230446339256e+002°)
9.99999999999995e+001	(-7.15144933075201e+001dB,1.76142854577987e+002°)
1.02329299228075e+002	(-7.11153026110686e+001dB,1.76053237685364e+002°)
1.04712854805089e+002	(-7.07161498959981e+001dB,1.75961549567011e+002°)
1.07151930523760e+002	(-7.03170369369554e+001dB,1.75867743131169e+002°)
1.09647819614318e+002	(-6.99179655907516e+001dB,1.75771770270835e+002°)
1.12201845430196e+002	(-6.95189378000944e+001dB,1.75673581845857e+002°)
1.14815362149688e+002	(-6.91199555974820e+001dB,1.75573127665005e+002°)
1.17489755493952e+002	(-6.87210211092664e+001dB,1.75470356468057e+002°)
1.20226443461741e+002	(-6.83221365598925e+001dB,1.75365215907918e+002°)
1.23026877081237e+002	(-6.79233042763187e+001dB,1.75257652532810e+002°)
1.25892541179416e+002	(-6.75245266926276e+001dB,1.75147611768564e+002°)
1.28824955169313e+002	(-6.71258063548322e+001dB,1.75035037901052e+002°)
1.31825673855640e+002	(-6.67271459258871e+001dB,1.74919874058803e+002°)
1.34896288259165e+002	(-6.63285481909090e+001dB,1.74802062195836e+002°)
1.38038426460288e+002	(-6.59300160626180e+001dB,1.74681543074772e+002°)
1.41253754462275e+002	(-6.55315525870038e+001dB,1.74558256250265e+002°)
1.44543977074592e+002	(-6.51331609492274e+001dB,1.74432140052808e+002°)
1.47910838816820e+002	(-6.47348444797645e+001dB,1.74303131572977e+002°)
1.51356124843620e+002	(-6.43366066608003e+001dB,1.74171166646173e+002°)
1.54881661891247e+002	(-6.39384511328828e+001dB,1.74036179837931e+002°)
1.58489319246110e+002	(-6.35403817018425e+001dB,1.73898104429874e+002°)
1.62181009735892e+002	(-6.31424023459889e+001dB,1.73756872406375e+002°)
1.65958690743755e+002	(-6.27445172235896e+001dB,1.73612414442032e+002°)
1.69824365246173e+002	(-6.23467306806418e+001dB,1.73464659890031e+002°)
1.73780082874936e+002	(-6.19490472589447e+001dB,1.73313536771495e+002°)
1.77827941003891e+002	(-6.15514717044791e+001dB,1.73158971765928e+002°)
1.81970085860997e+002	(-6.11540089761047e+001dB,1.73000890202853e+002°)
1.86208713666286e+002	(-6.07566642545810e+001dB,1.72839216054776e+002°)
1.90546071796323e+002	(-6.03594429519202e+001dB,1.72673871931578e+002°)
1.94984459975803e+002	(-5.99623507210794e+001dB,1.72504779076488e+002°)
1.99526231496887e+002	(-5.95653934659982e+001dB,1.72331857363767e+002°)
2.04173794466952e+002	(-5.91685773519892e+001dB,1.72155025298246e+002°)
2.08929613085403e+002	(-5.87719088164869e+001dB,1.71974200016894e+002°)
2.13796208950222e+002	(-5.83753945801593e+001dB,1.71789297292563e+002°)
2.18776162394954e+002	(-5.79790416583884e+001dB,1.71600231540092e+002°)
2.23872113856832e+002	(-5.75828573731219e+001dB,1.71406915824973e+002°)
2.29086765276776e+002	(-5.71868493650992e+001dB,1.71209261874745e+002°)
2.34422881531991e+002	(-5.67910256064541e+001dB,1.71007180093350e+002°)
2.39883291901947e+002	(-5.63953944136935e+001dB,1.70800579578659e+002°)
2.45470891568501e+002	(-5.59999644610515e+001dB,1.70589368143393e+002°)
2.51188643150956e+002	(-5.56047447942170e+001dB,1.70373452339684e+002°)
2.57039578276885e+002	(-5.52097448444296e+001dB,1.70152737487532e+002°)
2.63026799189536e+002	(-5.48149744429387e+001dB,1.69927127707404e+002°)
2.69153480392690e+002	(-5.44204438358172e+001dB,1.69696525957278e+002°)
2.75422870333815e+002	(-5.40261636991185e+001dB,1.69460834074387e+002°)
2.81838293126443e+002	(-5.36321451543656e+001dB,1.69219952821980e+002°)
2.88403150312659e+002	(-5.32383997843542e+001dB,1.68973781941404e+002°)
2.95120922666637e+002	(-5.28449396492537e+001dB,1.68722220209823e+002°)
3.01995172040200e+002	(-5.24517773029807e+001dB,1.68465165503903e+002°)
3.09029543251357e+002	(-5.20589258098226e+001dB,1.68202514869806e+002°)
3.16227766016836e+002	(-5.16663987612792e+001dB,1.67934164599836e+002°)
3.23593656929626e+002	(-5.12742102930899e+001dB,1.67660010316094e+002°)
3.31131121482589e+002	(-5.08823751024076e+001dB,1.67379947061506e+002°)
3.38844156139200e+002	(-5.04909084650772e+001dB,1.67093869398586e+002°)
3.46736850452529e+002	(-5.00998262529688e+001dB,1.66801671516311e+002°)
3.54813389233573e+002	(-4.97091449513144e+001dB,1.66503247345476e+002°)
3.63078054770099e+002	(-4.93188816759854e+001dB,1.66198490682908e+002°)
3.71535229097170e+002	(-4.89290541906487e+001dB,1.65887295324896e+002°)
3.80189396320558e+002	(-4.85396809237267e+001dB,1.65569555210222e+002°)
3.89045144994278e+002	(-4.81507809850834e+001dB,1.65245164573128e+002°)
3.98107170553494e+002	(-4.77623741823499e+001dB,1.64914018106574e+002°)
4.07380277804110e+002	(-4.73744810367963e+001dB,1.64576011136115e+002°)
4.16869383470332e+002	(-4.69871227986488e+001dB,1.64231039804707e+002°)
4.26579518801589e+002	(-4.66003214617423e+001dB,1.63879001268707e+002°)
4.36515832240163e+002	(-4.62140997773908e+001dB,1.63519793905356e+002°)
4.46683592150960e+002	(-4.58284812673522e+001dB,1.63153317531925e+002°)
4.57088189614872e+002	(-4.54434902357498e+001dB,1.62779473636727e+002°)
4.67735141287195e+002	(-4.50591517798122e+001dB,1.62398165622115e+002°)
4.78630092322635e+002	(-4.46754917992775e+001dB,1.62009299059540e+002°)
4.89778819368443e+002	(-4.42925370043044e+001dB,1.61612781956688e+002°)
5.01187233627268e+002	(-4.39103149217235e+001dB,1.61208525036632e+002°)
5.12861383991361e+002	(-4.35288538994523e+001dB,1.60796442028881e+002°)
5.24807460249769e+002	(-4.31481831088950e+001dB,1.60376449972082e+002°)
5.37031796370249e+002	(-4.27683325451363e+001dB,1.59948469528103e+002°)
5.49540873857620e+002	(-4.23893330247362e+001dB,1.59512425307036e+002°)
5.62341325190345e+002	(-4.20112161809274e+001dB,1.59068246202639e+002°)
5.75439937337152e+002	(-4.16340144560118e+001dB,1.58615865737546e+002°)
