Freq.	V(vo)
1.05002587211087e+001	(-1.21440004753742e+001dB,7.30041753809048e+001°)
1.05026767734069e+001	(-1.21422439674403e+001dB,7.30001386164696e+001°)
1.05050953825464e+001	(-1.21404875409706e+001dB,7.29961013884560e+001°)
1.05075145486554e+001	(-1.21387311959831e+001dB,7.29920636968314e+001°)
1.05099342718620e+001	(-1.21369749324961e+001dB,7.29880255415630e+001°)
1.05123545522947e+001	(-1.21352187505278e+001dB,7.29839869226184e+001°)
1.05147753900817e+001	(-1.21334626500962e+001dB,7.29799478399649e+001°)
1.05171967853513e+001	(-1.21317066312197e+001dB,7.29759082935701e+001°)
1.05196187382321e+001	(-1.21299506939164e+001dB,7.29718682834014e+001°)
1.05220412488523e+001	(-1.21281948382045e+001dB,7.29678278094263e+001°)
1.05244643173404e+001	(-1.21264390641021e+001dB,7.29637868716122e+001°)
1.05268879438249e+001	(-1.21246833716274e+001dB,7.29597454699268e+001°)
1.05293121284342e+001	(-1.21229277607988e+001dB,7.29557036043378e+001°)
1.05317368712970e+001	(-1.21211722316342e+001dB,7.29516612748124e+001°)
1.05341621725417e+001	(-1.21194167841520e+001dB,7.29476184813182e+001°)
1.05365880322970e+001	(-1.21176614183703e+001dB,7.29435752238232e+001°)
1.05390144506914e+001	(-1.21159061343073e+001dB,7.29395315022948e+001°)
1.05414414278537e+001	(-1.21141509319812e+001dB,7.29354873167005e+001°)
1.05438689639124e+001	(-1.21123958114102e+001dB,7.29314426670084e+001°)
1.05462970589963e+001	(-1.21106407726125e+001dB,7.29273975531855e+001°)
1.05487257132342e+001	(-1.21088858156063e+001dB,7.29233519752002e+001°)
1.05511549267547e+001	(-1.21071309404098e+001dB,7.29193059330198e+001°)
1.05535846996868e+001	(-1.21053761470411e+001dB,7.29152594266123e+001°)
1.05560150321591e+001	(-1.21036214355186e+001dB,7.29112124559453e+001°)
1.05584459243006e+001	(-1.21018668058603e+001dB,7.29071650209866e+001°)
1.05608773762402e+001	(-1.21001122580846e+001dB,7.29031171217040e+001°)
1.05633093881067e+001	(-1.20983577922095e+001dB,7.28990687580654e+001°)
1.05657419600291e+001	(-1.20966034082533e+001dB,7.28950199300385e+001°)
1.05681750921364e+001	(-1.20948491062342e+001dB,7.28909706375914e+001°)
1.05706087845576e+001	(-1.20930948861705e+001dB,7.28869208806916e+001°)
1.05730430374217e+001	(-1.20913407480802e+001dB,7.28828706593073e+001°)
1.05754778508577e+001	(-1.20895866919817e+001dB,7.28788199734065e+001°)
1.05779132249948e+001	(-1.20878327178931e+001dB,7.28747688229568e+001°)
1.05803491599621e+001	(-1.20860788258327e+001dB,7.28707172079263e+001°)
1.05827856558888e+001	(-1.20843250158186e+001dB,7.28666651282831e+001°)
1.05852227129039e+001	(-1.20825712878691e+001dB,7.28626125839950e+001°)
1.05876603311368e+001	(-1.20808176420023e+001dB,7.28585595750301e+001°)
1.05900985107166e+001	(-1.20790640782366e+001dB,7.28545061013564e+001°)
1.05925372517727e+001	(-1.20773105965901e+001dB,7.28504521629421e+001°)
1.05949765544343e+001	(-1.20755571970811e+001dB,7.28463977597551e+001°)
1.05974164188308e+001	(-1.20738038797276e+001dB,7.28423428917635e+001°)
1.05998568450915e+001	(-1.20720506445481e+001dB,7.28382875589353e+001°)
1.06022978333458e+001	(-1.20702974915606e+001dB,7.28342317612390e+001°)
1.06047393837231e+001	(-1.20685444207834e+001dB,7.28301754986422e+001°)
1.06071814963530e+001	(-1.20667914322348e+001dB,7.28261187711136e+001°)
1.06096241713647e+001	(-1.20650385259329e+001dB,7.28220615786211e+001°)
1.06120674088880e+001	(-1.20632857018961e+001dB,7.28180039211329e+001°)
1.06145112090522e+001	(-1.20615329601424e+001dB,7.28139457986171e+001°)
1.06169555719870e+001	(-1.20597803006901e+001dB,7.28098872110423e+001°)
1.06194004978220e+001	(-1.20580277235575e+001dB,7.28058281583767e+001°)
1.06218459866868e+001	(-1.20562752287629e+001dB,7.28017686405881e+001°)
1.06242920387111e+001	(-1.20545228163243e+001dB,7.27977086576452e+001°)
1.06267386540244e+001	(-1.20527704862600e+001dB,7.27936482095163e+001°)
1.06291858327567e+001	(-1.20510182385884e+001dB,7.27895872961698e+001°)
1.06316335750375e+001	(-1.20492660733275e+001dB,7.27855259175738e+001°)
1.06340818809968e+001	(-1.20475139904957e+001dB,7.27814640736968e+001°)
1.06365307507642e+001	(-1.20457619901112e+001dB,7.27774017645071e+001°)
1.06389801844696e+001	(-1.20440100721922e+001dB,7.27733389899732e+001°)
1.06414301822429e+001	(-1.20422582367570e+001dB,7.27692757500635e+001°)
1.06438807442141e+001	(-1.20405064838237e+001dB,7.27652120447464e+001°)
1.06463318705129e+001	(-1.20387548134107e+001dB,7.27611478739906e+001°)
1.06487835612694e+001	(-1.20370032255362e+001dB,7.27570832377643e+001°)
1.06512358166136e+001	(-1.20352517202183e+001dB,7.27530181360360e+001°)
1.06536886366754e+001	(-1.20335002974754e+001dB,7.27489525687746e+001°)
1.06561420215850e+001	(-1.20317489573258e+001dB,7.27448865359480e+001°)
1.06585959714723e+001	(-1.20299976997875e+001dB,7.27408200375253e+001°)
1.06610504864676e+001	(-1.20282465248790e+001dB,7.27367530734749e+001°)
1.06635055667009e+001	(-1.20264954326183e+001dB,7.27326856437655e+001°)
1.06659612123024e+001	(-1.20247444230239e+001dB,7.27286177483654e+001°)
1.06684174234022e+001	(-1.20229934961139e+001dB,7.27245493872435e+001°)
1.06708742001308e+001	(-1.20212426519066e+001dB,7.27204805603683e+001°)
1.06733315426182e+001	(-1.20194918904202e+001dB,7.27164112677087e+001°)
1.06757894509947e+001	(-1.20177412116729e+001dB,7.27123415092332e+001°)
1.06782479253908e+001	(-1.20159906156832e+001dB,7.27082712849105e+001°)
1.06807069659366e+001	(-1.20142401024691e+001dB,7.27042005947094e+001°)
1.06831665727627e+001	(-1.20124896720489e+001dB,7.27001294385986e+001°)
1.06856267459994e+001	(-1.20107393244410e+001dB,7.26960578165469e+001°)
1.06880874857771e+001	(-1.20089890596635e+001dB,7.26919857285231e+001°)
1.06905487922263e+001	(-1.20072388777347e+001dB,7.26879131744959e+001°)
1.06930106654776e+001	(-1.20054887786729e+001dB,7.26838401544341e+001°)
1.06954731056614e+001	(-1.20037387624963e+001dB,7.26797666683069e+001°)
1.06979361129082e+001	(-1.20019888292232e+001dB,7.26756927160827e+001°)
1.07003996873488e+001	(-1.20002389788719e+001dB,7.26716182977305e+001°)
1.07028638291136e+001	(-1.19984892114606e+001dB,7.26675434132192e+001°)
1.07053285383334e+001	(-1.19967395270076e+001dB,7.26634680625180e+001°)
1.07077938151388e+001	(-1.19949899255311e+001dB,7.26593922455954e+001°)
1.07102596596605e+001	(-1.19932404070494e+001dB,7.26553159624206e+001°)
1.07127260720292e+001	(-1.19914909715808e+001dB,7.26512392129625e+001°)
1.07151930523758e+001	(-1.19897416191436e+001dB,7.26471619971901e+001°)
1.07176606008310e+001	(-1.19879923497560e+001dB,7.26430843150723e+001°)
1.07201287175257e+001	(-1.19862431634363e+001dB,7.26390061665783e+001°)
1.07225974025906e+001	(-1.19844940602028e+001dB,7.26349275516771e+001°)
