Freq.	V(vout)/V(vin)
1.31825673855643e+002	(-2.07015559982046e+000dB,3.82656742117298e+001°)
1.31977531170714e+002	(-2.06759535813412e+000dB,3.82269908276549e+001°)
1.32129563418659e+002	(-2.06503980105591e+000dB,3.81883367904566e+001°)
1.32281770800995e+002	(-2.06248892210325e+000dB,3.81497121034816e+001°)
1.32434153519468e+002	(-2.05994271480463e+000dB,3.81111167700978e+001°)
1.32586711776058e+002	(-2.05740117268451e+000dB,3.80725507935497e+001°)
1.32739445772976e+002	(-2.05486428926745e+000dB,3.80340141769976e+001°)
1.32892355712668e+002	(-2.05233205808830e+000dB,3.79955069236126e+001°)
1.33045441797811e+002	(-2.04980447267296e+000dB,3.79570290363952e+001°)
1.33198704231318e+002	(-2.04728152655413e+000dB,3.79185805183270e+001°)
1.33352143216334e+002	(-2.04476321327010e+000dB,3.78801613723524e+001°)
1.33505758956239e+002	(-2.04224952635610e+000dB,3.78417716013045e+001°)
1.33659551654646e+002	(-2.03974045934981e+000dB,3.78034112079502e+001°)
1.33813521515404e+002	(-2.03723600579286e+000dB,3.77650801950086e+001°)
1.33967668742596e+002	(-2.03473615922649e+000dB,3.77267785651098e+001°)
1.34121993540539e+002	(-2.03224091319658e+000dB,3.76885063208379e+001°)
1.34276496113788e+002	(-2.02975026124997e+000dB,3.76502634647017e+001°)
1.34431176667133e+002	(-2.02726419693405e+000dB,3.76120499991288e+001°)
1.34586035405597e+002	(-2.02478271379868e+000dB,3.75738659264794e+001°)
1.34741072534443e+002	(-2.02230580539933e+000dB,3.75357112490838e+001°)
1.34896288259167e+002	(-2.01983346529097e+000dB,3.74975859691754e+001°)
1.35051682785506e+002	(-2.01736568702806e+000dB,3.74594900888977e+001°)
1.35207256319430e+002	(-2.01490246417124e+000dB,3.74214236103673e+001°)
1.35363009067148e+002	(-2.01244379028284e+000dB,3.73833865356246e+001°)
1.35518941235106e+002	(-2.00998965892441e+000dB,3.73453788666170e+001°)
1.35675053029988e+002	(-2.00754006366490e+000dB,3.73074006052728e+001°)
1.35831344658718e+002	(-2.00509499807040e+000dB,3.72694517534046e+001°)
1.35987816328454e+002	(-2.00265445571310e+000dB,3.72315323127953e+001°)
1.36144468246597e+002	(-2.00021843016118e+000dB,3.71936422851013e+001°)
1.36301300620785e+002	(-1.99778691499703e+000dB,3.71557816720247e+001°)
1.36458313658895e+002	(-1.99535990379372e+000dB,3.71179504750880e+001°)
1.36615507569043e+002	(-1.99293739013173e+000dB,3.70801486957993e+001°)
1.36772882559587e+002	(-1.99051936759282e+000dB,3.70423763355868e+001°)
1.36930438839123e+002	(-1.98810582976308e+000dB,3.70046333958299e+001°)
1.37088176616488e+002	(-1.98569677022947e+000dB,3.69669198778292e+001°)
1.37246096100758e+002	(-1.98329218258295e+000dB,3.69292357828320e+001°)
1.37404197501254e+002	(-1.98089206041325e+000dB,3.68915811119846e+001°)
1.37562481027533e+002	(-1.97849639731592e+000dB,3.68539558663997e+001°)
1.37720946889397e+002	(-1.97610518688956e+000dB,3.68163600471272e+001°)
1.37879595296888e+002	(-1.97371842273229e+000dB,3.67787936551245e+001°)
1.38038426460291e+002	(-1.97133609844730e+000dB,3.67412566913057e+001°)
1.38197440590132e+002	(-1.96895820763986e+000dB,3.67037491565126e+001°)
1.38356637897180e+002	(-1.96658474391671e+000dB,3.66662710515151e+001°)
1.38516018592449e+002	(-1.96421570089105e+000dB,3.66288223770487e+001°)
1.38675582887191e+002	(-1.96185107217335e+000dB,3.65914031337362e+001°)
1.38835330992907e+002	(-1.95949085137842e+000dB,3.65540133221499e+001°)
1.38995263121338e+002	(-1.95713503212868e+000dB,3.65166529428415e+001°)
1.39155379484470e+002	(-1.95478360803984e+000dB,3.64793219962111e+001°)
1.39315680294533e+002	(-1.95243657274054e+000dB,3.64420204826884e+001°)
1.39476165764002e+002	(-1.95009391985507e+000dB,3.64047484025711e+001°)
1.39636836105596e+002	(-1.94775564301636e+000dB,3.63675057561459e+001°)
1.39797691532280e+002	(-1.94542173585215e+000dB,3.63302925435636e+001°)
1.39958732257264e+002	(-1.94309219200331e+000dB,3.62931087650011e+001°)
1.40119958494003e+002	(-1.94076700510117e+000dB,3.62559544204598e+001°)
1.40281370456198e+002	(-1.93844616879133e+000dB,3.62188295099804e+001°)
1.40442968357797e+002	(-1.93612967671799e+000dB,3.61817340335012e+001°)
1.40604752412994e+002	(-1.93381752252653e+000dB,3.61446679908767e+001°)
1.40766722836229e+002	(-1.93150969986740e+000dB,3.61076313819202e+001°)
1.40928879842190e+002	(-1.92920620239347e+000dB,3.60706242063742e+001°)
1.41091223645812e+002	(-1.92690702376127e+000dB,3.60336464639242e+001°)
1.41253754462278e+002	(-1.92461215762654e+000dB,3.59966981541573e+001°)
1.41416472507018e+002	(-1.92232159765549e+000dB,3.59597792766638e+001°)
1.41579377995711e+002	(-1.92003533751171e+000dB,3.59228898309196e+001°)
1.41742471144283e+002	(-1.91775337086347e+000dB,3.58860298163525e+001°)
1.41905752168912e+002	(-1.91547569137971e+000dB,3.58491992323012e+001°)
1.42069221286021e+002	(-1.91320229273836e+000dB,3.58123980780988e+001°)
1.42232878712285e+002	(-1.91093316861484e+000dB,3.57756263529619e+001°)
1.42396724664627e+002	(-1.90866831269098e+000dB,3.57388840560735e+001°)
1.42560759360221e+002	(-1.90640771865050e+000dB,3.57021711865428e+001°)
1.42724983016492e+002	(-1.90415138017937e+000dB,3.56654877434061e+001°)
1.42889395851113e+002	(-1.90189929096954e+000dB,3.56288337256627e+001°)
1.43053998082009e+002	(-1.89965144471322e+000dB,3.55922091322230e+001°)
1.43218789927357e+002	(-1.89740783510770e+000dB,3.55556139619501e+001°)
1.43383771605584e+002	(-1.89516845585467e+000dB,3.55190482136552e+001°)
1.43548943335368e+002	(-1.89293330065643e+000dB,3.54825118860629e+001°)
1.43714305335642e+002	(-1.89070236321989e+000dB,3.54460049778471e+001°)
1.43879857825587e+002	(-1.88847563725286e+000dB,3.54095274875973e+001°)
1.44045601024640e+002	(-1.88625311647487e+000dB,3.53730794139176e+001°)
1.44211535152490e+002	(-1.88403479459777e+000dB,3.53366607552478e+001°)
1.44377660429076e+002	(-1.88182066534386e+000dB,3.53002715100326e+001°)
1.44543977074595e+002	(-1.87961072243506e+000dB,3.52639116766174e+001°)
1.44710485309496e+002	(-1.87740495960148e+000dB,3.52275812533313e+001°)
1.44877185354479e+002	(-1.87520337057342e+000dB,3.51912802384114e+001°)
1.45044077430502e+002	(-1.87300594908461e+000dB,3.51550086300333e+001°)
1.45211161758777e+002	(-1.87081268887291e+000dB,3.51187664263176e+001°)
1.45378438560769e+002	(-1.86862358367943e+000dB,3.50825536253189e+001°)
1.45545908058199e+002	(-1.86643862724750e+000dB,3.50463702250208e+001°)
1.45713570473045e+002	(-1.86425781333065e+000dB,3.50102162234062e+001°)
1.45881426027538e+002	(-1.86208113567505e+000dB,3.49740916182965e+001°)
1.46049474944166e+002	(-1.85990858803829e+000dB,3.49379964075250e+001°)
1.46217717445675e+002	(-1.85774016418289e+000dB,3.49019305888748e+001°)
1.46386153755065e+002	(-1.85557585786720e+000dB,3.48658941599987e+001°)
1.46554784095594e+002	(-1.85341566285896e+000dB,3.48298871185409e+001°)
1.46723608690778e+002	(-1.85125957293094e+000dB,3.47939094620971e+001°)
1.46892627764390e+002	(-1.84910758185606e+000dB,3.47579611881702e+001°)
1.47061841540459e+002	(-1.84695968341138e+000dB,3.47220422942104e+001°)
1.47231250243275e+002	(-1.84481587137809e+000dB,3.46861527776051e+001°)
1.47400854097384e+002	(-1.84267613954274e+000dB,3.46502926357021e+001°)
1.47570653327592e+002	(-1.84054048169064e+000dB,3.46144618657424e+001°)
1.47740648158964e+002	(-1.83840889162156e+000dB,3.45786604650026e+001°)
1.47910838816824e+002	(-1.83628136312560e+000dB,3.45428884305803e+001°)
1.48081225526754e+002	(-1.83415789000699e+000dB,3.45071457596046e+001°)
1.48251808514598e+002	(-1.83203846606882e+000dB,3.44714324491009e+001°)
1.48422588006460e+002	(-1.82992308511929e+000dB,3.44357484960480e+001°)
1.48593564228704e+002	(-1.82781174097149e+000dB,3.44000938973738e+001°)
1.48764737407953e+002	(-1.82570442744093e+000dB,3.43644686499326e+001°)
1.48936107771095e+002	(-1.82360113834590e+000dB,3.43288727505125e+001°)
1.49107675545275e+002	(-1.82150186751131e+000dB,3.42933061958634e+001°)
1.49279440957903e+002	(-1.81940660876482e+000dB,3.42577689826704e+001°)
1.49451404236649e+002	(-1.81731535594100e+000dB,3.42222611075817e+001°)
1.49623565609446e+002	(-1.81522810287238e+000dB,3.41867825671374e+001°)
1.49795925304491e+002	(-1.81314484339975e+000dB,3.41513333578536e+001°)
1.49968483550241e+002	(-1.81106557136706e+000dB,3.41159134761844e+001°)
1.50141240575417e+002	(-1.80899028062430e+000dB,3.40805229185388e+001°)
1.50314196609005e+002	(-1.80691896501904e+000dB,3.40451616812154e+001°)
1.50487351880255e+002	(-1.80485161841120e+000dB,3.40098297605248e+001°)
