Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
22080.047330189,-76.39414572873869,1913.147408523139
22387.2113856834,-76.50287046607278,1888.551958168338
22698.64851883822,-76.58362333458989,1863.369160761945
23014.41817408509,-76.71141651541485,1837.955567988211
23334.58062281003,-76.80043406849327,1814.02107404056
23659.19697485759,-76.89346792611749,1790.321986862844
23988.32919019491,-76.96889631490306,1766.652653180508
24322.04009073816,-77.07142030342932,1743.07816659537
24660.3933723434,-77.14404407983453,1720.172897919063
25003.45361696432,-77.25511661417623,1697.099254925916
25351.28630497908,-77.31601192743771,1674.763516273845
25703.95782768865,-77.40912285301482,1652.655787122384
26061.53549998896,-77.48498272253183,1630.181929325009
26424.08757321947,-77.57023234808642,1608.583056880398
26791.68324819033,-77.63733235074207,1587.115941915518
27164.39268839084,-77.70066979187862,1566.328158500897
27542.28703338168,-77.77851033694827,1545.203262209293
27925.43841237339,-77.85763793324718,1524.71392544095
28313.9199579938,-77.90434319894867,1504.635409510399
28707.80582024692,-77.97369664745018,1483.834518007491
29107.17118066607,-78.04716844128522,1464.862204118416
29512.09226666387,-78.10483177241936,1445.031131861411
29922.64636608191,-78.1598706577454,1425.714311277985
30338.91184194272,-78.20006167083355,1405.956279471539
30760.9681474071,-78.26962581910763,1387.186452144599
31188.89584093939,-78.32236254017972,1368.916821930753
31622.77660168381,-78.37161112887676,1351.033986679214
32062.69324505467,-78.41888636922012,1333.069676761603
32508.72973854345,-78.44745860733777,1315.212268024976
32960.97121774579,-78.49739363564191,1297.3393478535
33419.50400261144,-78.54793859590413,1279.889528648873
33884.41561392028,-78.57428878177888,1263.022511274843
34355.79478998748,-78.62399325723972,1245.938223635057
34833.7315036012,-78.63382869963993,1228.697338368911
35318.31697919572,-78.68859287642387,1212.225736046302
35809.64371026362,-78.70712158718527,1196.593472319072
36307.80547701016,-78.72002924971606,1180.505472929747
36812.89736425316,-78.7652177304376,1164.666729175573
37325.01577957208,-78.78290618076868,1148.846720998153
37844.25847170936,-78.78564451406692,1133.648153938432
38370.7245492279,-78.8126899483365,1118.400140684195
38904.51449942809,-78.86299650074957,1103.589682980807
39445.73020752787,-78.85715138694665,1088.777304640826
39994.47497610978,-78.85206420035614,1074.036579265062
40550.85354483841,-78.89858975786777,1059.669884650889
41114.97211045225,-78.89329894724895,1045.649121918757
41686.93834703357,-78.90467257500876,1031.212589850591
42266.86142656033,-78.88902404321801,1017.729099275549
42854.85203974399,-78.92747759032831,1003.372283040442
43451.02241715719,-78.87793690700126,990.4151251913262
44055.48635065537,-78.96066088153374,976.3000834028858
44668.35921509634,-78.92948003919518,964.1247574448672
45289.75799036211,-78.91402755080581,951.542139962178
45919.80128368689,-78.98794197181306,938.164519382331
46558.60935229593,-78.95798843122093,924.6478241721325
47206.30412635909,-78.86789960976935,912.8149958514642
47863.00923226388,-78.94505452023817,899.8985711263125
48528.85001621215,-78.86933804597774,886.0754131773474
49203.95356814509,-78.95676624502769,875.3875077144398
49888.44874600122,-78.76568540188079,869.030066317532
50582.4662003114,-78.69999115075208,851.473786816899
51286.13839913649,-78.8255533199895,842.0911210820984
51999.59965335159,-79.07892813904844,829.0000630878869
52722.98614228227,-78.71833466781717,818.6101941762822
53456.43593969716,-78.62231821694435,808.3025932849504
54200.08904016238,-78.70617274565154,797.6592339878503
54954.08738576245,-78.65010856652547,788.8882532537251
55718.57489319298,-78.52720252240876,776.2875493677261
56493.69748123025,-78.63937138112115,767.6502188365578
57279.60309858293,-78.45211833798118,752.2060881326095
58076.44175213121,-78.42768956471834,745.6647338253931
58884.3655355589,-78.28185277862629,735.8864075479325
59703.52865838369,-78.38846686563294,729.2621868814575
60534.08747539136,-78.18240138433545,713.3073730576771
61376.20051647942,-78.18330429304834,703.4137771526206
62230.02851691595,-78.27734581516987,698.9859015556785
63095.73444801933,-77.97480324876463,684.5354893665706
63973.48354826482,-77.9952131511734,677.5175813287893
64863.44335482384,-77.80507184093608,670.8150087884652
65765.78373554205,-77.9792288869932,659.3048325818253
66680.67692136222,-77.93392811597381,652.6445944429582
67608.29753919819,-77.90417225408555,642.631085195495
68548.82264526616,-77.82157286121586,633.9998077132769
69502.4317588797,-77.75722053581271,625.2905418557361
70469.30689671471,-77.74141386991818,617.1788321996019
71449.63260755134,-77.58912171899878,609.1900566887276
72443.59600749903,-77.55152002652332,600.4671484600414
73451.38681571151,-77.46414523126471,593.3185499501088
74473.19739059891,-77.3829369526147,585.5909008758711
75509.22276654342,-77.2649984839866,577.662840060935
76559.66069112565,-77.16861673754384,569.6079509843868
77624.71166286919,-77.08474825242348,561.881392677273
78704.57896950988,-76.97264055024769,555.3529401467551
79799.46872679768,-76.92089148017833,547.0777086434125
80909.58991783825,-76.78110174235866,539.9506250261419
82035.15443298186,-76.73230393506874,533.0088881951509
83176.37711026713,-76.67552246873778,525.3787700509025
84333.47577642757,-76.49012985620412,518.8807600926179
85506.67128846837,-76.38954563539988,512.0577815491185
86696.18757582171,-76.31609636565345,505.3474038255505
87902.25168308846,-76.18675809693534,498.9125158412656
89125.09381337459,-76.10750911181493,491.6203743259055
90364.94737223018,-75.98744894545707,485.8918940881334
91622.04901220002,-75.89570263364506,478.9939630186699
92896.63867799367,-75.74504906705548,472.6789876257985
94188.95965228417,-75.56612262589485,466.6421796385968
95499.25860214364,-75.48164281073684,460.4883855268847
96827.78562612495,-75.32755557270141,454.717090018179
98174.7943019985,-75.23734842215345,448.2778068290127
99540.54173515274,-75.15220770301761,443.1092965929761
100925.2886076685,-74.95575095328033,437.0132457871161
102329.2992280755,-74.83395045332408,432.1020987725776
103752.8415818013,-74.64519049155528,424.8868674634662
105196.1873823224,-74.60771567143273,420.6260061460895
106659.6121230258,-74.26606711105359,414.6916908427747
108143.3951297939,-74.27744736708546,408.4547800960934
109647.8196143186,-74.0981012807526,407.9297137037332
111173.1727281592,-73.96842807717528,401.2893114286902
112719.7456175511,-74.00515327117809,392.696307831923
114287.8334789772,-73.68090620918096,389.0444722010477
115877.7356155126,-73.31322647463224,383.485369117404
117489.7554939529,-73.34402007032297,378.5205974944057
119124.2008027375,-73.05765224596509,373.4259611992887
120781.383510678,-73.00669105370186,369.8857441406574
