req.	V(Vout)/V(n002)
1.44211535152490e+002	(-1.05285314318868e+000dB,2.63750591832876e+001°)
1.44377660429076e+002	(-1.05088142767982e+000dB,2.63488144709664e+001°)
1.44543977074595e+002	(-1.04891335450486e+000dB,2.63225880633942e+001°)
1.44710485309496e+002	(-1.04694891858171e+000dB,2.62963799697690e+001°)
1.44877185354479e+002	(-1.04498811482927e+000dB,2.62701901992210e+001°)
1.45044077430502e+002	(-1.04303093816750e+000dB,2.62440187608126e+001°)
1.45211161758777e+002	(-1.04107738351734e+000dB,2.62178656635389e+001°)
1.45378438560769e+002	(-1.03912744580106e+000dB,2.61917309163273e+001°)
1.45545908058199e+002	(-1.03718111994179e+000dB,2.61656145280378e+001°)
1.45713570473045e+002	(-1.03523840086382e+000dB,2.61395165074634e+001°)
1.45881426027538e+002	(-1.03329928349270e+000dB,2.61134368633297e+001°)
1.46049474944166e+002	(-1.03136376275502e+000dB,2.60873756042953e+001°)
1.46217717445675e+002	(-1.02943183357869e+000dB,2.60613327389517e+001°)
1.46386153755065e+002	(-1.02750349089274e+000dB,2.60353082758236e+001°)
1.46554784095594e+002	(-1.02557872962748e+000dB,2.60093022233690e+001°)
1.46723608690778e+002	(-1.02365754471450e+000dB,2.59833145899790e+001°)
1.46892627764390e+002	(-1.02173993108678e+000dB,2.59573453839783e+001°)
1.47061841540459e+002	(-1.01982588367820e+000dB,2.59313946136250e+001°)
1.47231250243275e+002	(-1.01791539742471e+000dB,2.59054622871109e+001°)
1.47400854097384e+002	(-1.01600846726295e+000dB,2.58795484125613e+001°)
1.47570653327592e+002	(-1.01410508813121e+000dB,2.58536529980356e+001°)
1.47740648158964e+002	(-1.01220525496923e+000dB,2.58277760515268e+001°)
1.47910838816824e+002	(-1.01030896271801e+000dB,2.58019175809621e+001°)
1.48081225526754e+002	(-1.00841620632019e+000dB,2.57760775942029e+001°)
1.48251808514598e+002	(-1.00652698071985e+000dB,2.57502560990444e+001°)
1.48422588006460e+002	(-1.00464128086238e+000dB,2.57244531032166e+001°)
1.48593564228704e+002	(-1.00275910169487e+000dB,2.56986686143836e+001°)
1.48764737407953e+002	(-1.00088043816600e+000dB,2.56729026401441e+001°)
1.48936107771095e+002	(-9.99005285225787e-001dB,2.56471551880314e+001°)
1.49107675545275e+002	(-9.97133637826187e-001dB,2.56214262655135e+001°)
1.49279440957903e+002	(-9.95265490920288e-001dB,2.55957158799934e+001°)
1.49451404236649e+002	(-9.93400839463267e-001dB,2.55700240388087e+001°)
1.49623565609446e+002	(-9.91539678411585e-001dB,2.55443507492322e+001°)
1.49795925304491e+002	(-9.89682002723718e-001dB,2.55186960184720e+001°)
1.49968483550241e+002	(-9.87827807359441e-001dB,2.54930598536710e+001°)
1.50141240575417e+002	(-9.85977087280774e-001dB,2.54674422619080e+001°)
1.50314196609005e+002	(-9.84129837450922e-001dB,2.54418432501967e+001°)
1.50487351880255e+002	(-9.82286052835269e-001dB,2.54162628254868e+001°)
